‘ Well, it's a recognised symptom of the condition that an attack can come out of the blue.	‘ Well, it's a recognised symptom of the condition that an attack can come without warning.	1.0
This was collected from beneath a tree in the fringing woodland of Lake Baringo in Kenya while the owl itself sat tight in the tree above.	This was collected from beneath a tree in the fringing woodland of Lake Baringo in Kenya while the owl itself waited patiently in the tree above.	1.0
By the same token , 500 acres in Saskatchewan might be considered a very small farm indeed.	in a similar manner , 500 acres in Saskatchewan might be considered a very small farm indeed.	1.0
By the same token , 500 acres in Saskatchewan might be considered a very small farm indeed.	for a similar reason , 500 acres in Saskatchewan might be considered a very small farm indeed.	1.0
Until we get the full implications of the Taylor Report and discover what happens over the identity - card issue, we will have to sit tight.	Until we get the full implications of the Taylor Report and discover what happens over the identity - card issue, we will have to wait patiently.	1.0
With hindsight, there were ‘ rumblings’ from some nursery nurses during the early stages of the course, but the matter only came to a head when a small group of nursery nurses made a formal complaint to a course tutor.	With hindsight, there were ‘ rumblings’ from some nursery nurses during the early stages of the course, but the matter only reached a turning point when a small group of nursery nurses made a formal complaint to a course tutor.	1.0
And perhaps, she decided, being realistic, as long as she did not let things go too far it would do her no harm to stop trying to resist them and simply go with the flow of her feelings for a while.	And perhaps, she decided, being realistic, as long as she did not let things go too far it would do her no harm to stop trying to resist them and simply conform to common behavior patterns with an attitude of calm acceptance of her feelings for a while.	1.0
Norwich's victory opened up a four- point lead at the top of the table with their fifth win on the trot.	Norwich's victory opened up a four- point lead at the top of the table with their fifth win in succession.	1.0
Norwich's victory opened up a four- point lead at the top of the table with their fifth win on the trot.	Norwich's victory opened up a four- point lead at the top of the table with their fifth win in a row.	1.0
In short, they threw the book at him.	In short, they applyed the harshest possible punishment to him.	1.0
However, after a few weeks, cinema audiences dropped dramatically and the moment of truth arrived.	However, after a few weeks, cinema audiences dropped dramatically and the time when a test determines whether things will succeed arrived.	1.0
‘ You bet Broadman it wouldn't catch fire?’	‘ You bet Broadman it wouldn't become engulfed in flames	1.0
It will be jockeying for position.	It will be Maneuver for some benefit.	1.0
She had again unwittingly revealed her misgivings, for on the face of it we hadn't been speaking of marriage.	She had again unwittingly revealed her misgivings, for at first glance we hadn't been speaking of marriage.	1.0
She had again unwittingly revealed her misgivings, for on the face of it we hadn't been speaking of marriage.	She had again unwittingly revealed her misgivings, for at first glance we hadn't been speaking of marriage.	1.0
It sounded like an interesting job — the play was a futuristic drama set in the twenty - first century, and the director said she'd have a chance to really let her imagination run riot on the styles.	It sounded like an interesting job — the play was a futuristic drama set in the twenty - first century, and the director said she'd have a chance to really let her imagination act in a violent way on the styles.	1.0
‘ Oooh, I love it when you talk dirty!’	‘ Oooh, I love it when you use profane language for the purpose of arousal	0.7005013172022032
Similarly, police outrage at ‘ blacks getting away with murder’ is often tinged with grudging respect for the way they flout authority.	Similarly, police outrage at ‘ blacks doing bad things and not be punished is often tinged with grudging respect for the way they flout authority.	0.7317271335270772
They pay no attention to us, so for a moment we can gawp in safety behind the scenes with the boys in blue.	They pay no attention to us, so for a moment we can gawp in safety secretly with the boys in blue.	1.0
They pay no attention to us, so for a moment we can gawp in safety behind the scenes with the boys in blue.	They pay no attention to us, so for a moment we can gawp in safety secretly with the boys in blue.	1.0
They pay no attention to us, so for a moment we can gawp in safety behind the scenes with the boys in blue.	They pay no attention to us, so for a moment we can gawp in safety behind the scenery and stage area with the boys in blue.	1.0
But despite his subsequent Phoenix - like rise from the ashes of defeat, he reflected that his fall from grace had been mainly due to the persistent interference of the private detective Grant.	But despite his subsequent Phoenix - like make a comeback after a disaster that almost led to a tragic end of defeat, he reflected that his fall from grace had been mainly due to the persistent interference of the private detective Grant.	1.0
On the face of it, she was what she seemed: a lonely, nervous girl, travelling Europe alone, and, he conceded reluctantly, of very doubtful chastity.	at first glance, she was what she seemed: a lonely, nervous girl, travelling Europe alone, and, he conceded reluctantly, of very doubtful chastity.	1.0
On the face of it, she was what she seemed: a lonely, nervous girl, travelling Europe alone, and, he conceded reluctantly, of very doubtful chastity.	at first glance, she was what she seemed: a lonely, nervous girl, travelling Europe alone, and, he conceded reluctantly, of very doubtful chastity.	1.0
Right, next one is poison must get a move on cos we're running a bit late so as we're going to poisons later I'll just go on to say here that there's four ways poisons can get into the body.	Right, next one is poison must hurry up cos we're running a bit late so as we're going to poisons later I'll just go on to say here that there's four ways poisons can get into the body.	1.0
We're always on the lookout for really great Megatape games, so if you think your game comes up to scratch, send it in!	We're always on the lookout for really great Megatape games, so if you think your game comes satisfactory, send it in!	1.0
Time to come clean.	Time to be completely honest.	1.0
Time to come clean.	Time to admit the truth.	1.0
Even with normal traffic, it was cutting it fine.	Even with normal traffic, it was achieving things at the last possible moment.	1.0
And, although she had come up with the idea of a visit to Oxford very much on the spur of the moment, it wasn't a bad one.	And, although she had come up with the idea of a visit to Oxford very much on short notice, it wasn't a bad one.	1.0
The manager played more than 100 matches for the Cobblers in the early Seventies and, living three miles from the ground, he remains conveniently placed to keep tabs on potential signings.	The manager played more than 100 matches for the Cobblers in the early Seventies and, living three miles from the ground, he remains conveniently placed to watch potential signings.	1.0
It's duck soup for a girl of easy virtue to find a new man.	It's an easy task for a girl of easy virtue to find a new man.	1.0
The in - fighting on the United board has reached an intense pitch, with several incumbent directors jockeying for position as the Knighton deal looks increasingly likely to fail.	The in - fighting on the United board has reached an intense pitch, with several incumbent directors Maneuver for some benefit as the Knighton deal looks increasingly likely to fail.	1.0
All of her sweet, loving nature that she'd turned in on herself, waiting for this one moment in her life, this moment of truth, and it had all been for nothing.	All of her sweet, loving nature that she'd turned in on herself, waiting for this one moment in her life, this time when a test determines whether things will succeed, and it had all been for nothing.	1.0
I mean, she's an attractive girl, so she is, despite her ideas, and she could make a pretty penny out of her looks.	I mean, she's an attractive girl, so she is, despite her ideas, and she could make a high price out of her looks.	1.0
To do otherwise was to risk driving underground legitimate political expression, which would create worse problems in the long run.	To do otherwise was to risk driving underground legitimate political expression, which would create worse problems after a very long time.	1.0
To do otherwise was to risk driving underground legitimate political expression, which would create worse problems in the long run.	To do otherwise was to risk driving underground legitimate political expression, which would create worse problems over a long period of time.	1.0
He's gonna get well pissed off!	He's gonna get well left!	1.0
It is more than a year since the red and white surveyors' poles glinted above the reeds, blazing a trail for the draglines that were soon to follow.	It is more than a year since the red and white surveyors' poles glinted above the reeds, breaking new ground for the draglines that were soon to follow.	1.0
How insulting Delia Cope is, obviously she feels too high and mighty to read Spare Rib because it's become less entertaining, uninteresting, uninformative and boring because it covers Black women's issues.	How insulting Delia Cope is, obviously she feels too ostentatiously self-important to read Spare Rib because it's become less entertaining, uninteresting, uninformative and boring because it covers Black women's issues.	1.0
An acrid smell polluted the room, and the ragged blankets on the bed showed how Maggie had lost heart.	An acrid smell polluted the room, and the ragged blankets on the bed showed how Maggie had became discouraged.	1.0
An acrid smell polluted the room, and the ragged blankets on the bed showed how Maggie had lost heart.	An acrid smell polluted the room, and the ragged blankets on the bed showed how Maggie had experience reduced morale.	1.0
The leading soccer and horserace commentators, with sometimes far more difficult foreign names coming at them at full pelt out of the fog, seem to manage wordperfectly and not give up the ghost in a surfeit of sniggers.	The leading soccer and horserace commentators, with sometimes far more difficult foreign names coming at them at full pelt out of the fog, seem to manage wordperfectly and not die in a surfeit of sniggers.	1.0
The leading soccer and horserace commentators, with sometimes far more difficult foreign names coming at them at full pelt out of the fog, seem to manage wordperfectly and not give up the ghost in a surfeit of sniggers.	The leading soccer and horserace commentators, with sometimes far more difficult foreign names coming at them at full pelt out of the fog, seem to manage wordperfectly and not die in a surfeit of sniggers.	1.0
‘ It's been great because every one has shared in the pleasure of it’, she added, ‘ All my friends and colleagues have been so enthusiastic and my family are over the moon.’	‘ It's been great because every one has shared in the pleasure of it’, she added, ‘ All my friends and colleagues have been so enthusiastic and my family are delighted	1.0
By midnight the end - of - course party is in full swing, but most cadets, like the General, are sound asleep.	By midnight the end - of - course party is proceeding fully, but most cadets, like the General, are sound asleep.	1.0
By midnight the end - of - course party is in full swing, but most cadets, like the General, are sound asleep.	By midnight the end - of - course party is thoroughly begun and in progress, but most cadets, like the General, are sound asleep.	1.0
Historically it goes without saying that we have used all kinds of nature, and especially animals, for human benefit.	Historically it is obvious that we have used all kinds of nature, and especially animals, for human benefit.	1.0
I said I gotta come clean with you.	I said I gotta be completely honest with you.	1.0
I said I gotta come clean with you.	I said I gotta admit the truth with you.	1.0
Our postman looks as if he tips the scales at about twenty stone.’	Our postman looks as if he change the fortunes at about twenty stone.’	1.0
Patricia pulled a face behind her mother's back.	Patricia made a facial expression that shows dislike behind her mother's back.	0.7339729332926315
Councillors have already held talks with the town's bus operators with a view to reducing the number of vehicles using the centre.	Councillors have already held talks with the town's bus operators with the intention to reducing the number of vehicles using the centre.	1.0
We put two and two together and came up with Barry.	We figure things out and came up with Barry.	1.0
His own worst experience ‘ in the past year, anyway’ involved a Friday 7 pm service from Kings Cross that started late, had no buffet car, and after more stops than the Minster organ finally gave up the ghost at Doncaster.	His own worst experience ‘ in the past year, anyway’ involved a Friday 7 pm service from Kings Cross that started late, had no buffet car, and after more stops than the Minster organ finally died at Doncaster.	1.0
His own worst experience ‘ in the past year, anyway’ involved a Friday 7 pm service from Kings Cross that started late, had no buffet car, and after more stops than the Minster organ finally gave up the ghost at Doncaster.	His own worst experience ‘ in the past year, anyway’ involved a Friday 7 pm service from Kings Cross that started late, had no buffet car, and after more stops than the Minster organ finally died at Doncaster.	1.0
There exists however a very great number of variant routes on the numerous well defined walking paths that make this area a great favourite with Swiss visitors who enjoy walking holidays off the beaten track.	There exists however a very great number of variant routes on the numerous well defined walking paths that make this area a great favourite with Swiss visitors who enjoy walking holidays somewhere where few people go.	1.0
No, but they're very nice you can take it from me	No, but they're very nice you can rest assured	1.0
Very much like now, come to think of it: bored and fidgeting, breathing stale air while time stands still.	Very much like now, on reflection: bored and fidgeting, breathing stale air while time stands still.	1.0
And yet what does it mean to understand the formulations of someone for whom, on the face of it, final understanding is impossible, or never to be fully achieved?	And yet what does it mean to understand the formulations of someone for whom, at first glance, final understanding is impossible, or never to be fully achieved?	0.6841217431102684
And yet what does it mean to understand the formulations of someone for whom, on the face of it, final understanding is impossible, or never to be fully achieved?	And yet what does it mean to understand the formulations of someone for whom, at first glance, final understanding is impossible, or never to be fully achieved?	0.6841217431102684
‘ I know we had to let them all walk free.	‘ I know we had to let them all go unpunished.	1.0
‘ I know we had to let them all walk free.	‘ I know we had to let them all go unpunished.	1.0
Perhaps one is safer being a turf accountant than a chartered accountant in this day and age.	Perhaps one is safer being a turf accountant than a chartered accountant in the current era of history.	1.0
I shaved and showered, clipping two seconds off the record, and was soon out on the highway heading for Faketown.	I shaved and showered, clipping two seconds not for publication, and was soon out on the highway heading for Faketown.	1.0
‘ So play ball and tell me my plans, then,’ she said resentfully.	‘ So cooperate and tell me my plans, then,’ she said resentfully.	1.0
Little progress was made and matters came to a head when Rigby told Gedge she wanted Solowka out of the band.	Little progress was made and matters reached a turning point when Rigby told Gedge she wanted Solowka out of the band.	1.0
Doing things communicating with people verbally can mean a lot more now sometimes with a lot of bureaucracy you can get sucked in to putting everything down on paper but it doesn't mean as much as it does when it's face to face communication.	Doing things communicating with people verbally can mean a lot more now sometimes with a lot of bureaucracy you can get sucked in to putting everything down on paper but it doesn't mean as much as it does when it's in person communication.	1.0
Cambridge also have the lightest in their cox, Leigh Vice, she tipped the scales at just seven stone, six.	Cambridge also have the lightest in their cox, Leigh Vice, she changed the fortunes at just seven stone, six.	1.0
"On subsidiarity, "" the European Council received a report from the President of the Commission [reviewing]existing and proposed legislation in the light of the subsidiarity principle ""."	"On subsidiarity, "" the European Council received a report from the President of the Commission [reviewing]existing and proposed legislation in consideration of the subsidiarity principle ""."	1.0
The knife did not tip the scales much to his advantage, but even a slim chance was better than none.	The knife did not change the fortunes much to his advantage, but even a slim chance was better than none.	1.0
In 1945 the superficial judgement invariably carried the day.	In 1945 the superficial judgement invariably leaded to victory.	1.0
And if the generator gives up the ghost in the night you've got a torch on the table, and a candle.	And if the generator dies in the night you've got a torch on the table, and a candle.	1.0
And if the generator gives up the ghost in the night you've got a torch on the table, and a candle.	And if the generator dies in the night you've got a torch on the table, and a candle.	1.0
Paying the piper as we call the tune is the idea behind metering, which is already in use all over the world.	bearing the consequences of an action as we call the tune is the idea behind metering, which is already in use all over the world.	1.0
The Hong Kong stock exchange plummeted as Mr Patten, criticised by businessmen in the colony for rocking its relationship with Beijing's power brokers, called an end to months of behind the scenes wrangling.	The Hong Kong stock exchange plummeted as Mr Patten, criticised by businessmen in the colony for rocking its relationship with Beijing's power brokers, called an end to months of secretly wrangling.	1.0
The Hong Kong stock exchange plummeted as Mr Patten, criticised by businessmen in the colony for rocking its relationship with Beijing's power brokers, called an end to months of behind the scenes wrangling.	The Hong Kong stock exchange plummeted as Mr Patten, criticised by businessmen in the colony for rocking its relationship with Beijing's power brokers, called an end to months of secretly wrangling.	1.0
The Hong Kong stock exchange plummeted as Mr Patten, criticised by businessmen in the colony for rocking its relationship with Beijing's power brokers, called an end to months of behind the scenes wrangling.	The Hong Kong stock exchange plummeted as Mr Patten, criticised by businessmen in the colony for rocking its relationship with Beijing's power brokers, called an end to months of behind the scenery and stage area wrangling.	1.0
MORE and more women are hitting the bottle — but they don't like to admit it even to themselves.	MORE and more women are drinking alcohol steadily and in excess — but they don't like to admit it even to themselves.	1.0
You were able to drop all your own commitments at the drop of a hat?’	You were able to drop all your own commitments without any hesitation	1.0
Then a green light would stab through the gloom and he'd be roaring down the narrow concrete strip, faster and faster, holding Sugar back until it seemed the boundary fence was hurtling to meet them.	Then a permission would stab through the gloom and he'd be roaring down the narrow concrete strip, faster and faster, holding Sugar back until it seemed the boundary fence was hurtling to meet them.	0.7485380116959066
He must have taken a shine to the jacket because he turned the corner — and never came back leaving the police red - faced.	He must have taken a shine to the jacket because he passed out of danger — and never came back leaving the police red - faced.	0.6736357725203822
She had been continually up the spout, or over the moon, about someone or something.	She had been continually up the spout, or delighted, about someone or something.	1.0
I was over the moon.	I was delighted.	1.0
Come to think of it, the little party frock number she was wearing (and I'm so glad hemlines are on the up) didn't come from Oxfam either.	on reflection, the little party frock number she was wearing (and I'm so glad hemlines are on the up) didn't come from Oxfam either.	1.0
One clue unfinished in a Listener puzzle, and he would strain the capacity of every last brain - cell to bursting point until he had solved it.	One clue unfinished in a Listener puzzle, and he would strain the capacity of every brain - cell to bursting point until he had solved it.	0.7589041095890411
One clue unfinished in a Listener puzzle, and he would strain the capacity of every last brain - cell to bursting point until he had solved it.	One clue unfinished in a Listener puzzle, and he would strain the capacity of each and every brain - cell to bursting point until he had solved it.	0.7589041095890411
The presentations, which included showings of the latest Man with the Guinness TV and cinema ad campaign, came as the ideas generated by employees at the Take Home Trade conference began to bear fruit.	The presentations, which included showings of the latest Man with the Guinness TV and cinema ad campaign, came as the ideas generated by employees at the Take Home Trade conference began to achieve benefit.	1.0
Time to come out from under a cloud and enjoy yourself.	Time to come out from under suspicion and enjoy yourself.	1.0
Brunel University chiefs invited the talented four - year - old, who can already speak French and knows the Highway Code by heart, to their West London Institute after hearing he found primary school dull.	Brunel University chiefs invited the talented four - year - old, who can already speak French and knows the Highway Code from unaided memory and in full detail, to their West London Institute after hearing he found primary school dull.	1.0
The Nationalist councillors, it declared, would be better taking up such issues than ‘ attending functions behind closed doors at which toasts to the Queen are drunk’.	The Nationalist councillors, it declared, would be better taking up such issues than ‘ attending functions in private at which toasts to the Queen are drunk’.	0.7485038832212174
The Nationalist councillors, it declared, would be better taking up such issues than ‘ attending functions behind closed doors at which toasts to the Queen are drunk’.	The Nationalist councillors, it declared, would be better taking up such issues than ‘ attending functions secretly at which toasts to the Queen are drunk’.	0.7485038832212174
Here an inner momentum brings us face to face with ourselves and we can choose between perpetuating the old pattern or learning from our experience.	Here an inner momentum brings us in person with ourselves and we can choose between perpetuating the old pattern or learning from our experience.	1.0
Faced with a national drought that was playing havoc with his own garden and those of his village neighbours, one Richard Bullock took matters into his own hands and ended up in the dock for his pains.	Faced with a national drought that was playing havoc with his own garden and those of his village neighbours, one Richard Bullock took matters into his own hands and ended up under scrutiny for his pains.	1.0
Faced with a national drought that was playing havoc with his own garden and those of his village neighbours, one Richard Bullock took matters into his own hands and ended up in the dock for his pains.	Faced with a national drought that was playing havoc with his own garden and those of his village neighbours, one Richard Bullock took matters into his own hands and ended up under close scrutiny for his pains.	1.0
He's taking the piss out of me pulling a rack through.	He's tease out of me pulling a rack through.	1.0
If you have any doubts about your ability to fix a burst pipe, a storm - damaged roof, or a boiler that does on the blink, it may be worth signing up for Homercare, the new 24-hour emergency repair and assistance service from Europ Assistance.	If you have any doubts about your ability to fix a burst pipe, a storm - damaged roof, or a boiler that does malfunctioning, it may be worth signing up for Homercare, the new 24-hour emergency repair and assistance service from Europ Assistance.	1.0
If you have any doubts about your ability to fix a burst pipe, a storm - damaged roof, or a boiler that does on the blink, it may be worth signing up for Homercare, the new 24-hour emergency repair and assistance service from Europ Assistance.	If you have any doubts about your ability to fix a burst pipe, a storm - damaged roof, or a boiler that does malfunctioning, it may be worth signing up for Homercare, the new 24-hour emergency repair and assistance service from Europ Assistance.	1.0
Claims by Mr Major and others that a Labour administration would be heavily influenced if not controlled by the unions appeared to fall on deaf ears as union leaders kept a low profile.	Claims by Mr Major and others that a Labour administration would be heavily influenced if not controlled by the unions appeared to fall on deaf ears as union leaders was quiet and discreet.	1.0
This is the myth in a nutshell and its presence is invoked in the exhibition simply by the reminder that the paintings were executed with the nude model directly in front of the artist.	This is the myth briefly stated and its presence is invoked in the exhibition simply by the reminder that the paintings were executed with the nude model directly in front of the artist.	1.0
This is the myth in a nutshell and its presence is invoked in the exhibition simply by the reminder that the paintings were executed with the nude model directly in front of the artist.	This is the myth in summary and its presence is invoked in the exhibition simply by the reminder that the paintings were executed with the nude model directly in front of the artist.	1.0
you know when Les, oh she says there's been about half a dozen people at that paint shop, sends chops and changes she said she said, she said I haven't lived there for three and a half years	you know when Les, oh she says there's been about half a dozen people at that paint shop, sends change repeatedly she said she said, she said I haven't lived there for three and a half years	1.0
That, she thought, will be the moment of truth …	That, she thought, will be the time when a test determines whether things will succeed …	1.0
Alec Guinness plays the epitome of the Decent British Officer Johnny who decides, in order to re - establish military discipline and morale among his men, to play ball with his captors by building a bridge, militarily essential to the Japanese.	Alec Guinness plays the epitome of the Decent British Officer Johnny who decides, in order to re - establish military discipline and morale among his men, to cooperate with his captors by building a bridge, militarily essential to the Japanese.	1.0
and they've got no alternative, otherwise we're gonna get walked all over.	and they've got no alternative, otherwise we're gonna get dominated.	1.0
‘ For trying to kill each other every once in a while,’ said Joe.	‘ For trying to kill each other every sometimes said Joe.	1.0
‘ For trying to kill each other every once in a while,’ said Joe.	‘ For trying to kill each other every occasionally said Joe.	1.0
Carried out behind closed doors — in workrooms, laboratories and offices — it rarely gets a mention in the media despite the fact that excavations are often featured.	Carried out in private — in workrooms, laboratories and offices — it rarely gets a mention in the media despite the fact that excavations are often featured.	1.0
Carried out behind closed doors — in workrooms, laboratories and offices — it rarely gets a mention in the media despite the fact that excavations are often featured.	Carried out secretly — in workrooms, laboratories and offices — it rarely gets a mention in the media despite the fact that excavations are often featured.	1.0
So NATO remains in business, and in Afghanistan.	So NATO remains ready to proceed in a desired activity, and in Afghanistan.	0.7456222849209547
This is not generally a problem but, as with all uncertainties, hits home on the occasions that you forget to check!	This is not generally a problem but, as with all uncertainties, is especially meaningful on the occasions that you forget to check!	1.0
‘ You're absolutely off your rocker, Dot.’	‘ You're absolutely insane, Dot.’	1.0
By posing an enigma and deferring its solution, the hermeneutic code pulls off a sleight of hand which makes delayed information synonymous with truth.	By posing an enigma and deferring its solution, the hermeneutic code pulls off a skilled deception which makes delayed information synonymous with truth.	1.0
She could even cut the mustard in one of the magazines specifically featuring chicks with big tits.	She could even suffice in one of the magazines specifically featuring chicks with big tits.	1.0
She could even cut the mustard in one of the magazines specifically featuring chicks with big tits.	She could even be good enough in one of the magazines specifically featuring chicks with big tits.	1.0
What a queer thing, Uncle Walter phoning like that out of the blue,’ she said, taking off her coat.	What a queer thing, Uncle Walter phoning like that without warning she said, taking off her coat.	1.0
What a queer thing, Uncle Walter phoning like that out of the blue,’ she said, taking off her coat.	What a queer thing, Uncle Walter phoning like that unexpectedly she said, taking off her coat.	1.0
Side two, however, is no laughing matter.	Side two, however, is something serious that should not be joked about.	1.0
TEC was, therefore, invited ‘ to undertake this responsibility and open discussions with the other interests concerned, with a view to reaching agreement as quickly as possible’.	TEC was, therefore, invited ‘ to undertake this responsibility and open discussions with the other interests concerned, with the intention to reaching agreement as quickly as possible’.	1.0
I've deleted everything and re - installed DOS 5 and Windows 3.1 from scratch, all to no avail.	I've deleted everything and re - installed DOS 5 and Windows 3.1 from the beginning, all to no avail.	1.0
Matilda was also beginning to see red.	Matilda was also beginning to become enraged.	1.0
Behind the scenes Pilger, still fuming from the Kennedy Hotel showdown, was working separately.	secretly Pilger, still fuming from the Kennedy Hotel showdown, was working separately.	1.0
Behind the scenes Pilger, still fuming from the Kennedy Hotel showdown, was working separately.	secretly Pilger, still fuming from the Kennedy Hotel showdown, was working separately.	1.0
Behind the scenes Pilger, still fuming from the Kennedy Hotel showdown, was working separately.	behind the scenery and stage area Pilger, still fuming from the Kennedy Hotel showdown, was working separately.	1.0
When my Noble Friend er produced the Bill of the first er er case and it went er came to secondary reading, your Lordships did explain in no uncertain terms of the various matters about which your Lordships were concerned.	When my Noble Friend er produced the Bill of the first er er case and it went er came to secondary reading, your Lordships did explain categorically of the various matters about which your Lordships were concerned.	1.0
Politicians were not prepared to risk the fragile social consensus by allowing troubled firms to go to the wall.	Politicians were not prepared to risk the fragile social consensus by allowing troubled firms to fail.	1.0
Smar smart alec.	Smar a person who is irritating because they behaves as if they know everything.	1.0
‘ I hope you won't be stuck in your bag of ‘ defending’ the underground; like the man said, let's make it for the hell of it.’	‘ I hope you won't be stuck in your bag of ‘ defending’ the underground; like the man said, let's make it for no particular reason	1.0
Contribution to society: Er … ah … um … well, she raises money for charity, helps keep Hello!magazine in business and deserves an award for services to the airline industry	Contribution to society: Er … ah … um … well, she raises money for charity, helps keep Hello!magazine ready to proceed in a desired activity and deserves an award for services to the airline industry	0.7436719405670168
His father had been ‘ under the weather, since July, and Lewis was half - aware that he might be coming home for the last time.	His father had been ‘ somewhat ill, since July, and Lewis was half - aware that he might be coming home for the last time.	1.0
Meanwhile, the conservationists have until 14 March to persuade Norway's environment minister, Mrs Wenche Frogn - Sellag, to commute the sentence on Vegarshei's lone wolf.	Meanwhile, the conservationists have until 14 March to persuade Norway's environment minister, Mrs Wenche Frogn - Sellag, to commute the sentence on Vegarshei's solitary person.	1.0
Mountain golf is the kiss of death!’	Mountain golf is the something that may seem good but actually bring ruin to hopes and plans	1.0
The rabbits will have moved out or back — and, in effect, you must start completely from scratch again.	The rabbits will have moved out or back — and, in effect, you must start completely from the beginning again.	1.0
If conservatives could hold the line, they stood a chance of enacting a settlement that suited them.	If conservatives could firmly maintain the situation, they stood a chance of enacting a settlement that suited them.	1.0
It made short work of our Windows performance tests, WinTach, clocking up an impressive index of over 9.3.	It maked easier our Windows performance tests, WinTach, clocking up an impressive index of over 9.3.	1.0
The differences were beginning to be explained, although these statistics still do not say why Rochester was so out of line.	The differences were beginning to be explained, although these statistics still do not say why Rochester was so disproportionately.	1.0
Clues to the exact build quality on a guitar such as this lay within, which is a tall order for the humble reviewer, but by hook or by crook — or at least with a simple mirror — all is revealed.	Clues to the exact build quality on a guitar such as this lay within, which is a tall order for the humble reviewer, but by any means possible — or at least with a simple mirror — all is revealed.	1.0
Clues to the exact build quality on a guitar such as this lay within, which is a tall order for the humble reviewer, but by hook or by crook — or at least with a simple mirror — all is revealed.	Clues to the exact build quality on a guitar such as this lay within, which is a tall order for the humble reviewer, but one way or another — or at least with a simple mirror — all is revealed.	1.0
Kinloss Canoe Club are a mixed bunch of desperate characters (you have to be to paddle the Findhorn in early January with 10 degrees C of frost) from all walks of life, based loosely along the inner Moray Firth coast and the town of Forres.	Kinloss Canoe Club are a mixed bunch of desperate characters (you have to be to paddle the Findhorn in early January with 10 degrees C of frost) from all occuption, role, social class, or lifestyle, based loosely along the inner Moray Firth coast and the town of Forres.	1.0
But the Royal Institution of Chartered Surveyors is angry that some other local authorities are letting agents get away with murder.	But the Royal Institution of Chartered Surveyors is angry that some other local authorities are letting agents do bad things and not be punished.	1.0
Every pilot in his squadron knew it by heart.	Every pilot in his squadron knew it from unaided memory and in full detail.	1.0
By the same token, revisionist work has tended to play down the extent to which the intelligentsia set the goals and moulded the aspirations of peasants and workers.	in a similar manner, revisionist work has tended to play down the extent to which the intelligentsia set the goals and moulded the aspirations of peasants and workers.	1.0
By the same token, revisionist work has tended to play down the extent to which the intelligentsia set the goals and moulded the aspirations of peasants and workers.	for a similar reason, revisionist work has tended to play down the extent to which the intelligentsia set the goals and moulded the aspirations of peasants and workers.	1.0
GREEN LIGHT FOR BHRCA REVAMP	permission FOR BHRCA REVAMP	1.0
Instead of telling the silly tart to go and put some knickers on, as you or I would have done, these guys go all sweaty and hot under the collar, and stare at her, gobsmacked and embarrassed.	Instead of telling the silly tart to go and put some knickers on, as you or I would have done, these guys go all sweaty and angry and agitated, and stare at her, gobsmacked and embarrassed.	0.6981353477200636
From this time on, from one point of view, it was a dramatic story of courage, endurance and greed, a South American version of The Good, the Bad and the Ugly writ large.	From this time on, from one point of view, it was a dramatic story of courage, endurance and greed, a South American version of The Good, the Bad and the Ugly magnify.	1.0
And what impact it had made was soon dissipated when it was realized that the' total' war was still only partial after all, and that the well - to - do and high - and - mighty were still able to avoid the burdens which fell on ordinary people.	And what impact it had made was soon dissipated when it was realized that the' total' war was still only partial after all, and that the well - to - do and ostentatiously self-important were still able to avoid the burdens which fell on ordinary people.	1.0
We would often decide what to play on the spur of the moment.	We would often decide what to play on short notice.	1.0
Lynda La Plante is in grave danger of burning herself out and it's no laughing matter.	Lynda La Plante is in grave danger of burning herself out and it's something serious that should not be joked about.	1.0
But I should have guessed that Hurley and his crowd would again put two and two together and make 22.	But I should have guessed that Hurley and his crowd would again figure things out and make 22.	1.0
Her father was kindness itself, but he was the sort of man who gave little credit to anyone who had fallen from grace.	Her father was kindness itself, but he was the sort of man who gave little credit to anyone who had losed social position.	1.0
It was all quite above board — none too clean, but that's by the way.	It was all quite open and straightforward — none too clean, but that's by the way.	0.7220765600419508
But it goes without saying that their refined phrasing and shading is infinitely preferable to the garish exaggeration often forced on these endearing Czech mood - pictures.	But it is obvious that their refined phrasing and shading is infinitely preferable to the garish exaggeration often forced on these endearing Czech mood - pictures.	1.0
‘ No court shall exercise its powers to make a specific issue order or prohibited steps order —(a) with a view to achieving a result which could be achieved by making a residence or contact order; …	‘ No court shall exercise its powers to make a specific issue order or prohibited steps order —(a) with the intention to achieving a result which could be achieved by making a residence or contact order; …	1.0
As well as having samples tested, manufacturers must also demonstrate that their quality - control system is up to scratch.	As well as having samples tested, manufacturers must also demonstrate that their quality - control system is satisfactory.	1.0
It was the rock - bottom level of her own self - respect which troubled her.	It was the the very lowest possible level level of her own self - respect which troubled her.	1.0
On February 1 Stephen Wright, an Equity & Law tied agent, stood in the dock of Gloucester Crown Court.	On February 1 Stephen Wright, an Equity & Law tied agent, stood under scrutiny of Gloucester Crown Court.	0.7591533220835054
On February 1 Stephen Wright, an Equity & Law tied agent, stood in the dock of Gloucester Crown Court.	On February 1 Stephen Wright, an Equity & Law tied agent, stood under close scrutiny of Gloucester Crown Court.	0.7591533220835054
